scenario,run-number,value,final,min,max,mean,ticks
A,44,sum [MDR-infected] of turtles,53,0,53,26.58161226,1500
A,44,sum [open-area-infected] of turtles,124,0,124,60.22318454,1500
A,44,sum [road-infected] of turtles,1,0,1,0.341105929,1500
A,44,sum [forest-edge-infected] of turtles,97,0,97,44.25249833,1500
A,45,R0-SEI,0,0,0,0,7
A,45,attack-rate,0,0,6.25,4.6875,7
A,45,sum [overall-infection] of turtles,0,0,0,0,7
A,45,sum [forest-infected] of turtles,0,0,0,0,7
A,45,sum [HDR-infected] of turtles,0,0,0,0,7
A,45,sum [MDR-infected] of turtles,0,0,0,0,7
A,45,sum [open-area-infected] of turtles,0,0,0,0,7
A,45,sum [road-infected] of turtles,0,0,0,0,7
A,45,sum [forest-edge-infected] of turtles,0,0,0,0,7
A,46,R0-SEI,5.25,0,5.6875,2.667971352,1500
A,46,attack-rate,81.25,0,93.75,68.87075283,1500
A,46,sum [overall-infection] of turtles,486,0,486,219.2671552,1500
A,46,sum [forest-infected] of turtles,195,0,195,88.71752165,1500
A,46,sum [HDR-infected] of turtles,3,0,3,1.966022652,1500
A,46,sum [MDR-infected] of turtles,40,0,40,20.4703531,1500
A,46,sum [open-area-infected] of turtles,149,0,149,72.65023318,1500
A,46,sum [road-infected] of turtles,1,0,1,0.372418388,1500
A,46,sum [forest-edge-infected] of turtles,98,0,98,35.09060626,1500
A,47,R0-SEI,3.5,0,5.4375,3.156603931,1500
A,47,attack-rate,68.75,0,100,69.22468354,1500
A,47,sum [overall-infection] of turtles,554,0,554,274.8814124,1500
A,47,sum [forest-infected] of turtles,201,0,201,102.703531,1500
A,47,sum [HDR-infected] of turtles,1,0,1,0.131245836,1500
A,47,sum [MDR-infected] of turtles,31,0,31,19.38974017,1500
A,47,sum [open-area-infected] of turtles,150,0,150,79.16189207,1500
A,47,sum [road-infected] of turtles,0,0,0,0,1500
A,47,sum [forest-edge-infected] of turtles,171,0,171,73.49500333,1500
A,48,R0-SEI,3.0625,0,3.5625,2.047051965,1500
A,48,attack-rate,75,0,93.75,59.38540973,1500
A,48,sum [overall-infection] of turtles,402,0,402,188.1432378,1500
A,48,sum [forest-infected] of turtles,195,0,195,93.24716855,1500
A,48,sum [HDR-infected] of turtles,6,0,6,2.89407062,1500
A,48,sum [MDR-infected] of turtles,49,0,49,23.67355097,1500
A,48,sum [open-area-infected] of turtles,106,0,106,46.81545636,1500
A,48,sum [road-infected] of turtles,0,0,0,0,1500
A,48,sum [forest-edge-infected] of turtles,46,0,46,21.51299134,1500
A,49,R0-SEI,4.9375,0,6.1875,3.542846436,1500
A,49,attack-rate,81.25,0,100,69.4703531,1500
A,49,sum [overall-infection] of turtles,666,0,666,348.3610926,1500
A,49,sum [forest-infected] of turtles,188,0,188,100.2538308,1500
A,49,sum [HDR-infected] of turtles,5,0,5,3.10592938,1500
A,49,sum [MDR-infected] of turtles,27,0,27,13.00532978,1500
A,49,sum [open-area-infected] of turtles,177,0,177,91.32511659,1500
A,49,sum [road-infected] of turtles,1,0,1,0.252498334,1500
A,49,sum [forest-edge-infected] of turtles,268,0,268,140.4183877,1500
A,50,R0-SEI,4,0,4.1875,2.556670553,1500
A,50,attack-rate,75,0,100,67.45919387,1500
A,50,sum [overall-infection] of turtles,445,0,445,202.9033977,1500
